title,year,venue,doi,pdf_status,ai_role,control_base,optimized_parameters,objective,sensors,subjects,metrics,semantic_input_type,semantic_output_type,robot_closed_loop,parameter_mapping,implementation_difficulty,quick_paper_fit,relevance_score,why_relevant
VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,2023,arXiv,10.48550/arXiv.2307.05973,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
AHA: A Vision-Language-Model for Detecting and Reasoning Over Failures in Robotic Manipulation,2024,arXiv,10.48550/arXiv.2410.00371,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Enhancing Robotic Manipulation with AI Feedback from Multimodal Large Language Models,2024,arXiv,10.48550/arXiv.2402.14245,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Learning to Learn Faster from Human Feedback with Language Model Predictive Control,2024,arXiv,10.48550/arXiv.2402.11450,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
LLM-Guided Safety Agent for Edge Robotics with an ISO-Compliant Perception-Compute-Control Architecture,2026,arXiv,10.48550/arXiv.2604.20193,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Speech-Based Human-Exoskeleton Interaction for Lower Limb Motion Planning,2023,arXiv,10.48550/arXiv.2310.03137,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,15,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Upper-Limb Rehabilitation with a Dual-Mode Individualized Exoskeleton Robot: A Generative-Model-Based Solution,2024,arXiv,10.48550/arXiv.2409.03193,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,15,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
A novel gesture interaction control method for rehabilitation lower extremity exoskeleton,2025,arXiv,10.48550/arXiv.2504.01888,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,15,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Plug in the Safety Chip: Enforcing Constraints for LLM-driven Robot Agents,2024,,10.1109/ICRA57147.2024.10611447,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Updating Robot Safety Representations Online From Natural Language Feedback,2026,,,manual_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,9,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Model Mediated Teleoperation with a Hand-Arm Exoskeleton in Long Time Delays Using Reinforcement Learning,2020,IEEE RO-MAN,10.1109/RO-MAN47096.2020.9223477,manual_pdf,轨迹生成器/学习器,DMP,待确认,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,mode switching / intent,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,与外骨骼 AI 控制相关，但需要全文确认可接入性
Shortcomings of human-in-the-loop optimization of an ankle-foot prosthesis emulator: a case series,2021,Royal Society Open Science,10.1098/rsos.202020,manual_pdf,参数优化器,low-frequency optimizer,待确认,待确认,足底压力/力传感,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,最贴近低频优化 DMP/阻抗参数的接入方式
A Pediatric Knee Exoskeleton With Real-Time Adaptive Control for Overground Walking in Ambulatory Individuals With Cerebral Palsy,2021,Frontiers in Robotics and AI,10.3389/frobt.2021.702137,manual_pdf,待人工确认,待确认,待确认,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,trajectory or gait features,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,与外骨骼 AI 控制相关，但需要全文确认可接入性
Explaining Bayesian Optimization by Shapley Values Facilitates Human-AI Collaboration,2024,arXiv,10.48550/arXiv.2403.04629,manual_pdf,参数优化器,low-frequency optimizer,待确认,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,最贴近低频优化 DMP/阻抗参数的接入方式
Novel Design on Knee Exoskeleton with Compliant Actuator for Post-Stroke Rehabilitation,2025,Sensors,10.3390/s25010153,manual_pdf,待人工确认,待确认,待确认,safety constraint,待确认,stroke participants/patients（数量待查 PDF）,safety constraint,not semantic / not reported,not reported,not confirmed,SafeTorque / safety constraints,not applicable,not semantic route,,与外骨骼 AI 控制相关，但需要全文确认可接入性
Design optimization platform for assistive wearable devices applied to a knee damper exoskeleton,2025,Wearable Technologies,10.1017/wtc.2025.10016,manual_pdf,参数优化器,low-frequency optimizer,待确认,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,最贴近低频优化 DMP/阻抗参数的接入方式
Portable hip exoskeleton improves walking economy for stroke survivors,2026,Nature Communications,10.1038/s41467-026-69580-0,manual_pdf,待人工确认,待确认,待确认,待确认,待确认,stroke participants/patients（数量待查 PDF）,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,与外骨骼 AI 控制相关，但需要全文确认可接入性
Therapist-exoskeleton-patient interaction for gait therapy,2026,Science Robotics,10.1126/scirobotics.adz9628,manual_pdf,待人工确认,待确认,待确认,待确认,待确认,stroke participants/patients（数量待查 PDF）,待从 PDF/全文确认,therapist instruction / clinical goal,trajectory or gait features,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,与外骨骼 AI 控制相关，但需要全文确认可接入性
基于在线增量DMP的准直驱膝关节外骨骼自适应柔顺控制,2026,仪器仪表学报,10.19650/j.cnki.cjsi.J2614961,manual_pdf,轨迹生成器/学习器,DMP,待确认,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,no direct mapping confirmed,not applicable,not semantic route,,与外骨骼 AI 控制相关，但需要全文确认可接入性
A Semantic-Aware Framework for Safe and Intent-Integrative Assistance in Upper-Limb Exoskeletons,2026,IEEE Robotics and Automation Letters,10.1109/LRA.2026.3677710,manual_pdf,高层语义/治疗师输入接口,high-level interface,助力强度/Amplitude/torque profile,待确认,治疗师/语义输入,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,mode switching / intent,not confirmed,Amplitude / assistive torque / SafeTorque,medium,future extension,28,可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
EIC Framework for Hand Exoskeletons Based on a Multimodal Large Language Model,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS60139.2025.11246670,manual_pdf,高层语义/治疗师输入接口,high-level interface,待确认,待确认,治疗师/语义输入,未从摘要确认,待从 PDF/全文确认,natural language / LLM,mode switching / intent,yes/likely,no direct mapping confirmed,high,not suitable for 1-2 month main paper,5,语义方向缺少到控制参数的直接映射，只适合相关工作/未来展望
Interpretable Locomotion Prediction in Construction Using a Memory-Driven LLM Agent With Chain-of-Thought Reasoning,2025,arXiv,10.48550/arXiv.2504.15263,manual_pdf,高层语义/治疗师输入接口,high-level interface,助力强度/Amplitude/torque profile,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,"Amplitude / assistive torque / SafeTorque, SafeTorque / safety constraints",medium,future extension,17,可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Upper Limb Rehabilitation Robot Control based on Large Language Model,2024,"2024 International Conference on Computer, Control, Informatics and its Applications (IC3INA)",10.1109/IC3INA64086.2024.10732179,manual_pdf,高层语义/治疗师输入接口,high-level interface,待确认,待确认,治疗师/语义输入,未从摘要确认,待从 PDF/全文确认,natural language / LLM,mode switching / intent,yes/likely,no direct mapping confirmed,high,not suitable for 1-2 month main paper,0,语义方向缺少到控制参数的直接映射，只适合相关工作/未来展望
